Arabian Sea,January_salinity,June_salinity,January_temp,June_temp,corals present
,36.30077744,37.4650116,26.74510002,29.47719955,TRUE
,36.25741577,37.96845245,27.01779747,29.64289856,TRUE
,36.12844086,37.78893661,26.75179863,29.54179955,TRUE
,36.57299042,37.88702774,26.81549835,29.66419792,TRUE
,36.45368576,37.90965271,26.82099915,30.04859924,TRUE
,36.0892601,37.49221039,26.91879654,30.11949921,TRUE
,36.38285065,37.55896759,26.83019829,29.71479797,TRUE
,35.78185654,37.52878571,26.74979973,29.51819801,TRUE
,36.13617706,37.99918365,26.76230049,30.17379761,TRUE
,36.48491669,37.82884216,27.19809914,29.74319839,TRUE
,36.63090897,37.5014534,26.77059937,30.22369957,TRUE
,36.16259766,37.78991318,*26.74299812,29.63850021,TRUE
,36.40014648,37.77466965,26.81969833,29.54599762,TRUE
,36.15112305,38.05762482,26.80509949,30.10900116,TRUE
,36.14445496,37.63972473,26.60009956,29.66409683,TRUE
,36.20606232,37.56363678,26.85649681,29.63319588,TRUE
,36.25930405,*37.7243041992187,26.88369751,29.89249802,TRUE
,36.31378937,38.12572861,26.71459961,29.68609619,TRUE
,36.45757294,37.95926285,26.93540001,30.1541996,TRUE
,36.34038544,37.94377899,27.1128006,29.72089958,TRUE
,36.16753387,37.90818787,20.3,*31.1,TRUE
,35.95135117,37.87294769,27.19809914,29.74319839,TRUE
,35.96375656,37.39617157,26.77059937,30.22369957,TRUE
,36.23590088,37.73583221,26.74299812,29.63850021,TRUE
,36.0348587,37.59051895,26.81969833,29.54599762,TRUE
,36.41954803,37.99987793,26.80509949,30.10900116,TRUE
,36.04243469,37.72995758,26.60009956,29.66409683,TRUE
,36.24422836,37.47774506,26.85649681,29.63319588,TRUE
,36.29940796,37.97735214,26.88369751,29.89249802,TRUE
,36.3478775,37.45796585,26.71459961,29.68609619,TRUE
,36.35585403,37.61484909,26.93540001,*30.1541996,TRUE
,36.14655685,37.37982941,27.1128006,29.72089958,TRUE
,36.47807693,37.61249542,27.19809914,29.74319839,TRUE
,36.15550613,37.61650848,26.77059937,30.22369957,TRUE
,36.24005508,37.65370941,26.74299812,29.63850021,TRUE
,36.27014542,37.63015747,26.81969833,29.54599762,TRUE
,36.42752457,*37.5599327087402,26.80509949,30.10900116,TRUE
,36.21960449,37.69067764,26.60009956,29.66409683,TRUE
,36.30705643,37.73841858,26.85649681,29.63319588,TRUE
,36.58727646,37.68901062,26.88369751,29.89249802,TRUE
,36.26977539,37.39186859,26.71459961,29.68609619,TRUE
,36.30247116,37.62804794,26.93540001,30.1541996,TRUE
,36.42033386,37.43649673,*27.1128006,29.72089958,TRUE
,36.37189102,37.74158478,27.19809914,29.74319839,TRUE
,36.36146927,38.0515976,26.77059937,30.22369957,TRUE
,36.38414383,37.93770599,26.74299812,29.63850021,TRUE
,36.44713974,37.39923477,26.81969833,29.54599762,TRUE
,*36.44,38.00337601,26.80509949,30.10900116,TRUE
,36.34722137,37.86815262,26.60009956,29.66409683,TRUE
